soal,versi-soal,prob_benar_menjawab,level,stanza,gpt,manual
Bakteri ini membantu dalam pertanian dengan hidup bersama akar tumbuhan kacang-kacangan. Bakteri ini adalah,028v001,"0,36",2,Bakteri/NSD ini/B-- membantu/VSA dalam/ASP pertanian/NSD dengan/R-- hidup/NSD bersama/VSA akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD  ./Z-- Bakteri/NSD ini/B-- adalah/O--,Bakteri/NSD ini/T-- membantu/VSA dalam/R-- pertanian/NSD dengan/R-- hidup/VSA bersama/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD ./Z-- Bakteri/NSD ini/T-- adalah/VSA  ,Bakteri/NSD ini/PRD membantu/VBT dalam/R-- pertanian/NSD dengan/R-- hidup/VBI bersama/R-- akar/NSD tumbuhan/NSD kacang/NSD -/Z-- kacangan/NSD ./Z-- Bakteri/NSD ini/PRD adalah/VBL
Bakteri ini berkolaborasi dengan akar tumbuhan kacang-kacangan untuk meningkatkan hasil pertanian. Bakteri ini disebut,028v002,"0,50",2,Bakteri/NSD ini/B-- berkolaborasi/VSA dengan/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD untuk/R-- meningkatkan/VSA hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/B-- disebut/VSP,Bakteri/NSD ini/T-- berkolaborasi/VSA dengan/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD untuk/R-- meningkatkan/VSA hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/T-- disebut/VSP  ,Bakteri/NSD ini/PRD berkolaborasi/VBI dengan/R-- akar/NSD tumbuhan/NSD kacang/NSD -/Z-- kacangan/NSD untuk/R-- meningkatkan/VBT hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/PRD disebut/VSP
Bakteri ini bekerja sama dengan akar tumbuhan kacang-kacangan untuk memperbaiki hasil pertanian. Bakteri ini adalah,028v003,"0,29",3,Bakteri/NSD ini/B-- bekerja/VSA sama/ASP dengan/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD untuk/R-- memperbaiki/VSA hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/B-- adalah/O--,Bakteri/NSD ini/T-- bekerja/VSA sama/ASP dengan/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD untuk/R-- memperbaiki/VSA hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/T-- adalah/VSA,Bakteri/NSD ini/PRD bekerja/VBI sama/R-- dengan/R-- akar/NSD tumbuhan/NSD kacang/NSD -/Z-- kacangan/NSD untuk/R-- memperbaiki /VBT hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/PRD adalah/VBL
Hewan-hewan yang termasuk dalam fauna tipe Australis adalah,030v001,"0,67",2,Hewan-hewan/NSD PAD/PAD PAD/PAD yang/S-- termasuk/R-- dalam/ASP fauna/F-- tipe/NSD Australis/X-- adalah/O--,Hewan-hewan/NSD PAD/PAD PAD/PAD yang/S-- termasuk/VSA dalam/R-- fauna/NSD tipe/NSD Australis/X-- adalah/VSA  ,Hewan/NSD -/Z-- hewan/NSD yang/S-- termasuk/VBI dalam/R-- fauna/NSD tipe/NSD Australis/F-- adalah/VBL
Contoh hewan yang merupakan bagian dari fauna tipe Australis adalah,030v002,"0,60",2,Contoh/NSD hewan/NSD yang/S-- merupakan/O-- bagian/NSD dari/R-- fauna/F-- tipe/NSD Australis/X-- adalah/O--,Contoh/NSD hewan/NSD yang/S-- merupakan/VSA bagian/NSD dari/R-- fauna/NSD tipe/NSD Australis/X-- adalah/VSA  ,Contoh/NSD hewan/NSD yang/S-- merupakan/VBL bagian/NSD dari/R-- fauna/NSD tipe/NSD Australis/F-- adalah/VBL
Fauna tipe Australis mencakup hewan-hewan seperti,030v003,"1,00",1,Fauna/X-- tipe/NSD Australis/X-- mencakup/VSA hewan-hewan/NSD PAD/PAD PAD/PAD seperti/R--,Fauna/NSD tipe/NSD Australis/X-- mencakup/VSA hewan-hewan/NSD PAD/PAD PAD/PAD seperti/R--  ,Fauna/NSD tipe/NSD Australis/F-- mencakup/VBT hewan/NSD -/Z-- hewan/NSD seperti/R--
Garis yang membatasi jenis hewan di Indonesia bagian timur dari bagian tengah adalah,031v001,"0,43",2,Garis/NSD yang/S-- membatasi/VSA jenis/NSD hewan/NSD di/R-- Indonesia/NSD bagian/NSD timur/NSD dari/R-- bagian/NSD tengah/NSD adalah/O--,Garis/NSD yang/S-- membatasi/VSA jenis/NSD hewan/NSD di/R-- Indonesia/X-- bagian/NSD timur/NSD dari/R-- bagian/NSD tengah/NSD adalah/VSA  ,Garis/NSD yang/S-- membatasi/VBT jenis/NSD hewan/NSD di/PRD Indonesia/NSP bagian/NSD timur/NSP dari/R-- bagian/NSD tengah/NSP adalah/VBL
Garis yang memisahkan jenis hewan di timur dan tengah Indonesia adalah,031v002,"0,67",2,Garis/NSD yang/S-- memisahkan/VSA jenis/NSD hewan/NSD di/R-- timur/NSD dan/H-- tengah/NSD Indonesia/NSD adalah/O--,Garis/NSD yang/S-- memisahkan/VSA jenis/NSD hewan/NSD di/R-- timur/NSD dan/CC- tengah/NSD Indonesia/X-- adalah/VSA  ,Garis/NSD yang/S-- memisahkan/VBT jenis/NSD hewan/NSD di/PRD timur/NSP dan/CCA tengah/NSP Indonesia/NSP adalah/VBL
Garis pemisah antara fauna (hewan) di Indonesia bagian timur dan bagian tengah adalah,031v003,"0,60",2,Garis/NSD pemisah/NSD antara/R-- fauna/F-- (/Z-- hewan/NSD )/Z-- di/R-- Indonesia/NSD bagian/NSD timur/NSD dan/H-- bagian/NSD tengah/NSD adalah/O--,Garis/NSD pemisah/NSD antara/R-- fauna/NSD (/Z-- hewan/NSD )/Z-- di/R-- Indonesia/X-- bagian/NSD timur/NSD dan/CC- bagian/NSD tengah/NSD adalah/VSA  ,Garis/NSD pemisah/NSD antara/R-- fauna/NSD (/Z-- hewan/NSD )/Z-- di/PRD Indonesia/NSP bagian/NSD timur/NSP dan/CCA bagian/NSD tengah/NSP adalah/VBL
Tanaman yang khas di Indonesia bagian Timur termasuk,032v001,"0,36",2,Tanaman/NSD yang/S-- khas/ASP di/R-- Indonesia/NSD bagian/NSD Timur/NSD termasuk/R--,Tanaman/NSD yang/S-- khas/ASP di/R-- Indonesia/X-- bagian/NSD Timur/X-- termasuk/VSA  ,Tanaman/NSD yang/S-- khas/ADJ di/PRD Indonesia/NSP bagian/NSD Timur/NSP termasuk/VBI
Flora yang khas di wilayah Timur Indonesia meliputi,032v002,"0,25",3,Flora/X-- yang/S-- khas/ASP di/R-- wilayah/NSD Timur/NSD Indonesia/NSD meliputi/VSA,Flora/NSD yang/S-- khas/ASP di/R-- wilayah/NSD Timur/X-- Indonesia/X-- meliputi/VSA  ,Flora/NSD yang/S-- khas/ADJ di/PRD wilayah/NSD timur/NSP Indonesia/NSP meliputi/VBT
Tanaman-tanaman yang khas di bagian Timur Indonesia adalah,032v003,"0,22",3,Tanaman-tanaman/NSD PAD/PAD PAD/PAD yang/S-- khas/ASP di/R-- bagian/NSD Timur/NSD Indonesia/NSD adalah/O--,Tanaman-tanaman/NSD PAD/PAD PAD/PAD yang/S-- khas/ASP di/R-- bagian/NSD Timur/X-- Indonesia/X-- adalah/VSA  ,Tanaman/NSD -/Z-- tanaman/NSD yang/S-- khas/ADJ di/PRD bagian/NSD Timur/NSP Indonesia/NSP adalah/VBL
Pilihlah aktivitas manusia yang tidak bisa menyebabkan punahnya hewan atau tumbuhan,033v001,"0,58",2,Pilih/VSA lah/T-- aktivitas/NSD manusia/NSD yang/S-- tidak/G-- bisa/M-- menyebabkan/VSA punah/NSD nya/PS3 hewan/NSD atau/H-- tumbuhan/NSD,Pilihlah/VSA PAD/PAD aktivitas/NSD manusia/NSD yang/S-- tidak/B-- bisa/VSA menyebabkan/VSA punahnya/NSD PAD/PAD hewan/NSD atau/CC- tumbuhan/NSD  ,Pilih/VSA lah/T-- aktivitas/NSD manusia/NSD yang/S-- tidak/ADV bisa/VSA menyebabkan/VBT punah/ADJ nya/PRF hewan/NSD atau/R-- tumbuhan/NSD
Mana di antara aktivitas manusia berikut yang tidak dapat menyebabkan punahnya hewan atau tumbuhan,033v002,"0,57",2,Mana/NSD di/R-- antara/R-- aktivitas/NSD manusia/NSD berikut/VSA yang/S-- tidak/G-- dapat/VSA menyebabkan/VSA punah/NSD nya/PS3 hewan/NSD atau/H-- tumbuhan/NSD,Mana/H-- di/R-- antara/R-- aktivitas/NSD manusia/NSD berikut/NSD yang/S-- tidak/B-- dapat/VSA menyebabkan/VSA punahnya/NSD PAD/PAD hewan/NSD atau/CC- tumbuhan/NSD ,Mana/PRQ di/PRD antara/R-- aktivitas/NSD manusia/NSD berikut/ADJ yang/S-- tidak/ADV dapat/VSA menyebabkan/VBT punah/ADJ nya/PRF hewan/NSD atau/R-- tumbuhan/NSD
Pilihlah aktivitas manusia yang tidak berpotensi menyebabkan punahnya hewan atau tumbuhan,033v003,"0,50",2,Pilih/VSA lah/T-- aktivitas/NSD manusia/NSD yang/S-- tidak/G-- berpotensi/VSA menyebabkan/VSA punah/NSD nya/PS3 hewan/NSD atau/H-- tumbuhan/NSD,Pilihlah/VSA PAD/PAD aktivitas/NSD manusia/NSD yang/S-- tidak/B-- berpotensi/VSA menyebabkan/VSA punahnya/NSD PAD/PAD hewan/NSD atau/CC- tumbuhan/NSD  ,Pilih/VSA lah/T-- aktivitas/NSD manusia/NSD yang/S-- tidak/ADV berpotensi/VBI menyebabkan/VBT punah/ADJ nya/PRF hewan/NSD atau/R-- tumbuhan/NSD
Salah satu cara untuk menjaga keanekaragaman hayati adalah,034v001,"0,41",2,Salah/ASP satu/CC- cara/NSD untuk/R-- menjaga/VSA keanekaragaman/NSD hayati/NSD adalah/O--,Salah/ASP satu/O-- cara/NSD untuk/R-- menjaga/VSA keanekaragaman/NSD hayati/NSD adalah/VSA  ,Salah/DET satu/NUM cara/NSD untuk/R-- menjaga/VBT keanekaragaman/NSD hayati/ADJ adalah/VBL
Cara untuk menjaga keanekaragaman hayati adalah,034v002,"0,90",1,Cara/NSD untuk/R-- menjaga/VSA keanekaragaman/NSD hayati/NSD adalah/O--,Cara/NSD untuk/R-- menjaga/VSA keanekaragaman/NSD hayati/NSD adalah/VSA  ,Cara/NSD untuk/R-- menjaga/VBT keanekaragaman/NSD hayati/ADJ adalah/VBL
Upaya untuk mempertahankan keanekaragaman hayati adalah,034v003,"0,40",2,Upaya/NSD untuk/R-- mempertahankan/VSA keanekaragaman/NSD hayati/NSD adalah/O--,Upaya/NSD untuk/R-- mempertahankan/VSA keanekaragaman/NSD hayati/NSD adalah/VSA  ,Upaya/NSD untuk/R-- mempertahankan/VBT keanekaragaman/NSD hayati/ADJ adalah/VBL
Hal-hal yang membentuk keanekaragaman sifat manusia adalah,035v001,"0,41",2,Hal-hal/NSD PAD/PAD PAD/PAD yang/S-- membentuk/VSA keanekaragaman/NSD sifat/NSD manusia/NSD adalah/O--,Hal-hal/NSD PAD/PAD PAD/PAD yang/S-- membentuk/VSA keanekaragaman/NSD sifat/NSD manusia/NSD adalah/VSA  ,Hal/NSD -/Z-- hal/NSD yang/S-- membentuk/VBT keanekaragaman/NSD sifat/NSD manusia/NSD adalah/VBL
Faktor-faktor yang membentuk perbedaan sifat termasuk,036v002,"0,38",2,Faktor-faktor/NSD PAD/PAD PAD/PAD yang/S-- membentuk/VSA perbedaan/NSD sifat/NSD termasuk/R--,Faktor-faktor/NSD PAD/PAD PAD/PAD yang/S-- membentuk/VSA perbedaan/NSD sifat/NSD termasuk/VSA  ,Faktor/NSD -/Z-- faktor/NSD yang/S-- membentuk/VBT perbedaan/NSD sifat/NSD termasuk/VBI
Apa saja yang membentuk keanekaragaman adalah,036v003,"0,75",1,Apa/W-- saja/D-- yang/S-- membentuk/VSA keanekaragaman/NSD adalah/O--,Apa/H-- saja/B-- yang/S-- membentuk/VSA keanekaragaman/NSD adalah/VSA  ,Apa/PRQ saja/R-- yang/S-- membentuk/VBT keanekaragaman/NSD adalah/VBL
Dua individu dalam satu jenis memiliki faktor genetik yang sama tetapi memiliki ciri-ciri fisik yang berbeda. Hal ini bisa disebabkan oleh,037v001,"0,19",3,Dua/CC- individu/NSD dalam/ASP satu/CC- jenis/NSD memiliki/VSA faktor/NSD genetik/NSD yang/S-- sama/ASP tetapi/S-- memiliki/VSA ciri-ciri/NSD PAD/PAD PAD/PAD fisik/NSD yang/S-- berbeda/VSA ./Z-- Hal/NSD ini/B-- bisa/M-- disebabkan/VSP oleh/R--,Dua/O-- individu/NSD dalam/R-- satu/O-- jenis/NSD memiliki/VSA faktor/NSD genetik/ASP yang/S-- sama/ASP tetapi/CC- memiliki/VSA ciri-ciri/NSD PAD/PAD PAD/PAD fisik/ASP yang/S-- berbeda/ASP ./Z-- Hal/NSD ini/T-- bisa/VSA disebabkan/VSP oleh/R--  ,Dua/NUM individu/NSD dalam/R-- satu/NUM jenis/NSD memiliki/VBT faktor/NSD genetik/NSD yang/S-- sama/ADJ tetapi/CCS memiliki/VBT ciri/NSD -/Z-- ciri/NSD fisik/NSD yang/S-- berbeda/VBI ./Z-- Hal/NSD ini/PRD bisa/VSA disebabkan/VSP oleh/R--
Faktor genetik yang sama pada dua individu dari satu jenis namun dengan fenotip yang berbeda bisa disebabkan oleh,037v002,"0,80",1,Faktor/NSD genetik/NSD yang/S-- sama/ASP pada/R-- dua/CC- individu/NSD dari/R-- satu/CC- jenis/NSD namun/S-- dengan/R-- fenotip/NSD yang/S-- berbeda/VSA bisa/M-- disebabkan/VSP oleh/R--,Faktor/NSD genetik/ASP yang/S-- sama/ASP pada/R-- dua/O-- individu/NSD dari/R-- satu/O-- jenis/NSD namun/CC- dengan/R-- fenotip/NSD yang/S-- berbeda/ASP bisa/VSA disebabkan/VSP oleh/R--  ,Faktor/NSD genetik/NSD yang/S-- sama/ADJ pada/R-- dua/NUM individu/NSD dari/R-- satu/NUM jenis/NSD namun/CCS dengan/R-- fenotip/NSD yang/S-- berbeda/VBI bisa/VSA disebabkan/VSP oleh/R--
Alasan dua individu dari satu jenis memiliki genetika yang serupa tetapi fenotip yang berbeda bisa karena,037v003,"0,57",2,Alasan/NSD dua/CC- individu/NSD dari/R-- satu/CC- jenis/NSD memiliki/VSA genetika/NSD yang/S-- serupa/ASP tetapi/S-- fenotip/NSD yang/S-- berbeda/VSA bisa/M-- karena/S--,Alasan/NSD dua/O-- individu/NSD dari/R-- satu/O-- jenis/NSD memiliki/VSA genetika/NSD yang/S-- serupa/ASP tetapi/CC- fenotip/NSD yang/S-- berbeda/ASP bisa/VSA karena/R--  ,Alasan/NSD dua/NUM individu/NSD dari/R-- satu/NUM jenis/NSD memiliki/VBT genetika/NSD yang/S-- serupa/ADJ tetapi/CCS fenotip/NSD yang/S-- berbeda/VBI bisa/VSA karena/R--
Contoh tingkat keanekaragaman jenis adalah,038v001,"0,77",1,Contoh/NSD tingkat/NSD keanekaragaman/NSD jenis/NSD adalah/O--,Contoh/NSD tingkat/NSD keanekaragaman/NSD jenis/NSD adalah/VSA  ,Contoh/NSD tingkat/NSD keanekaragaman/NSD jenis/NSD adalah/VBL
Kelompok yang merupakan tingkatan keanekaragaman jenis adalah,038v002,"0,63",2,Kelompok/NSD yang/S-- merupakan/O-- tingkatan/NSD keanekaragaman/NSD jenis/NSD adalah/O--,Kelompok/NSD yang/S-- merupakan/VSA tingkatan/NSD keanekaragaman/NSD jenis/NSD adalah/VSA  ,Kelompok/NUM yang/S-- merupakan/VBL tingkatan/NSD keanekaragaman/NSD jenis/NSD adalah/VBL
Contoh keanekaragaman jenis adalah,038v003,"0,75",1,Contoh/NSD keanekaragaman/NSD jenis/NSD adalah/O--,Contoh/NSD keanekaragaman/NSD jenis/NSD adalah/VSA  ,Contoh/NSD keanekaragaman/NSD jenis/NSD adalah/VBL
"Ekosistem di darat dengan curah hujan sedikit, penguapan tinggi, tanaman berdaun kecil dan jarum, serta hewan reptil, disebut sebagai",039v001,"0,27",3,"Ekosistem/X-- di/R-- darat/NSD dengan/R-- curah/VSA hujan/NSD sedikit/ASP ,/Z-- penguapan/NSD tinggi/ASP ,/Z-- tanaman/NSD berdaun/VSA kecil/ASP dan/H-- jarum/NSD ,/Z-- serta/H-- hewan/NSD reptil/X-- ,/Z-- disebut/VSP sebagai/R--","Ekosistem/NSD di/R-- darat/NSD dengan/R-- curah/NSD hujan/NSD sedikit/ASP ,/Z-- penguapan/NSD tinggi/ASP ,/Z-- tanaman/NSD berdaun/VSA kecil/ASP dan/CC- jarum/NSD ,/Z-- serta/CC- hewan/NSD reptil/NSD ,/Z-- disebut/VSP sebagai/R--  ","Ekosistem/NSD di/PRD darat/NSD dengan/R-- curah/NSD hujan/NSD sedikit/ADJ ,/Z-- penguapan/NSD tinggi/ADJ ,/Z-- tanaman/NSD berdaun/VBI kecil/ADJ dan/CCA jarum/NSD ,/Z-- serta/CCA hewan/NSD reptil/NSD ,/Z-- disebut/VSP sebagai/R--"
"Bioma yang terdapat di darat dengan sedikit hujan, banyak penguapan, tanaman kecil berdaun jarum, dan hewan seperti reptil, dikenal sebagai",039v002,"0,63",2,"Bioma/X-- yang/S-- terdapat/VSP di/R-- darat/NSD dengan/R-- sedikit/ASP hujan/NSD ,/Z-- banyak/B-- penguapan/NSD ,/Z-- tanaman/NSD kecil/ASP berdaun/VSA jarum/NSD ,/Z-- dan/H-- hewan/NSD seperti/R-- reptil/X-- ,/Z-- dikenal/VSP sebagai/R--","Bioma/NSD yang/S-- terdapat/VSA di/R-- darat/NSD dengan/R-- sedikit/ASP hujan/NSD ,/Z-- banyak/ASP penguapan/NSD ,/Z-- tanaman/NSD kecil/ASP berdaun/VSA jarum/NSD ,/Z-- dan/CC- hewan/NSD seperti/R-- reptil/NSD ,/Z-- dikenal/VSP sebagai/R--  ","Bioma/NSD yang/S-- terdapat/VBI di/PRD darat/NSD dengan/R-- sedikit/ADJ hujan/NSD ,/Z-- banyak/ADJ penguapan/NSD ,/Z-- tanaman/NSD kecil/ADJ berdaun/VBI jarum/NSD ,/Z-- dan/CCA hewan/NSD seperti/R-- reptil/NSD ,/Z-- dikenal/VSP sebagai/R--"
"Di darat, ekosistem dengan sedikit hujan, banyak penguapan, tanaman kecil berdaun jarum, dan reptil adalah contoh dari",039v003,"0,50",2,"Di/R-- darat/NSD ,/Z-- ekosistem/X-- dengan/R-- sedikit/ASP hujan/NSD ,/Z-- banyak/B-- penguapan/NSD ,/Z-- tanaman/NSD kecil/ASP berdaun/VSA jarum/NSD ,/Z-- dan/H-- reptil/X-- adalah/O-- contoh/NSD dari/R--","Di/R-- darat/NSD ,/Z-- ekosistem/NSD dengan/R-- sedikit/ASP hujan/NSD ,/Z-- banyak/ASP penguapan/NSD ,/Z-- tanaman/NSD kecil/ASP berdaun/VSA jarum/NSD ,/Z-- dan/CC- reptil/NSD adalah/VSA contoh/NSD dari/R--  ","Di/R-- darat/NSD ,/Z-- ekosistem/NSD dengan/R-- sedikit/ADJ hujan/NSD ,/Z-- banyak/ADJ penguapan/NSD ,/Z-- tanaman/NSD kecil/ADJ berdaun/VBI jarum/NSD ,/Z-- dan/CCA reptil/NSD adalah/VBL contoh/NSD dari/R--"
Tanaman Melanesia yang sering ditemukan di wilayah Indonesia Timur adalah,044v001,"0,53",2,Tanaman/NSD Melanesia/X-- yang/S-- sering/D-- ditemukan/VSP di/R-- wilayah/NSD Indonesia/NSD Timur/NSD adalah/O--,Tanaman/NSD Melanesia/NSD yang/S-- sering/B-- ditemukan/VSP di/R-- wilayah/NSD Indonesia/NSD Timur/NSD adalah/VSA  ,Tanaman/NSD Melanesia/NSP yang/S-- sering/ADJ ditemukan/VSP di/PRD wilayah/NSD Indonesia/NSP Timur/NSP adalah/VBL
Flora Melanesia yang banyak ada di bagian timur Indonesia adalah,044v002,"0,67",2,Flora/X-- Melanesia/X-- yang/S-- banyak/B-- ada/ASP di/R-- bagian/NSD timur/NSD Indonesia/NSD adalah/O--,Flora/NSD Melanesia/NSD yang/S-- banyak/B-- ada/VSA di/R-- bagian/NSD timur/NSD Indonesia/NSD adalah/VSA  ,Flora/NSD Melanesia/NSP yang/S-- banyak/ADJ ada/VBI di/PRD bagian/NSD timur/NSP Indonesia/NSP adalah/VBL
Tanaman-tanaman Melanesia yang tersebar luas di wilayah Indonesia Timur adalah,044v003,"0,40",2,Tanaman-tanaman/NSD PAD/PAD PAD/PAD Melanesia/X-- yang/S-- tersebar/VSP luas/ASP di/R-- wilayah/NSD Indonesia/NSD Timur/NSD adalah/O--,Tanaman-tanaman/NSD PAD/PAD PAD/PAD Melanesia/NSD yang/S-- tersebar/VSP luas/ASP di/R-- wilayah/NSD Indonesia/NSD Timur/NSD adalah/VSA  ,Tanaman/NSD -/Z-- tanaman/NSD Melanesia/NSP yang/S-- tersebar/VBI luas/ADJ di/PRD wilayah/NSD Indonesia/NSP timur/NSP adalah/VBL
Hewan-hewan khas Indonesia contohnya,045v001,"0,57",2,Hewan-hewan/NSD PAD/PAD PAD/PAD khas/ASP Indonesia/NSD contohnya/B-- PAD/PAD,Hewan-hewan/NSD PAD/PAD PAD/PAD khas/ASP Indonesia/NSD contoh/NSD -nya/G--  ,Hewan/NSD -/Z-- hewan/NSD khas/ADJ Indonesia/NSP contoh/NSD nya/PRF
Fauna unik yang hidup secara alami di Indonesia seperti,045v002,"0,40",2,Fauna/X-- unik/ASP yang/S-- hidup/NSD secara/R-- alami/ASP di/R-- Indonesia/NSD seperti/R--,Fauna/NSD unik/ASP yang/S-- hidup/VSA secara/B-- alami/ASP di/R-- Indonesia/NSD seperti/R--  ,Fauna/NSD unik/ADJ yang/S-- hidup/VBI secara/R-- alami/ADJ di/PRD Indonesia/NSP seperti/R--
Hewan endemik yang ada di Indonesia,045v003,"0,43",2,Hewan/NSD endemik/X-- yang/S-- ada/ASP di/R-- Indonesia/NSD,Hewan/NSD endemik/ASP yang/S-- ada/VSA di/R-- Indonesia/NSD  ,Hewan/NSD endemik/NSD yang/S-- ada/VBI di/PRD Indonesia/NSP
Sistem klasifikasi yang memperhitungkan hubungan kekerabatan adalah,047v001,"0,47",2,Sistem/NSD klasifikasi/NSD yang/S-- memperhitungkan/VSA hubungan/NSD kekerabatan/NSD adalah/O--,Sistem/NSD klasifikasi/NSD yang/S-- memperhitungkan/VSA hubungan/NSD kekerabatan/NSD adalah/VSA  ,Sistem/NSD klasifikasi/NSD yang/S-- memperhitungkan/VBT hubungan/NSD kekerabatan/NSD adalah/VBL
Cara klasifikasi yang memperhatikan hubungan kekerabatan disebut sebagai,047v002,"0,40",2,Cara/NSD klasifikasi/NSD yang/S-- memperhatikan/VSA hubungan/NSD kekerabatan/NSD disebut/VSP sebagai/R--,Cara/NSD klasifikasi/NSD yang/S-- memperhatikan/VSA hubungan/NSD kekerabatan/NSD disebut/VSP sebagai/R--  ,Cara/NSD klasifikasi/NSD yang/S-- memperhatikan/VBT hubungan/NSD kekerabatan/NSD disebut/VSP sebagai/R--
Sistem klasifikasi dengan memperhatikan hubungan kekerabatan disebut,047v003,"0,57",2,Sistem/NSD klasifikasi/NSD dengan/R-- memperhatikan/VSA hubungan/NSD kekerabatan/NSD disebut/VSP,Sistem/NSD klasifikasi/NSD dengan/R-- memperhatikan/VSA hubungan/NSD kekerabatan/NSD disebut/VSP  ,Sistem/NSD klasifikasi/NSD dengan/R-- memperhatikan/VBT hubungan/NSD kekerabatan/NSD disebut/VSP
Sistem klasifikasi pertama yang dikembangkan oleh ilmuwan adalah,050v001,"0,40",2,Sistem/NSD klasifikasi/NSD pertama/CO- yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSM adalah/O--,Sistem/NSD klasifikasi/NSD pertama/O-- yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VSA  ,Sistem/NSD klasifikasi/NSD pertama/ORD yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VBL
Sistem klasifikasi awal yang dikembangkan oleh ilmuwan adalah,050v002,"0,50",2,Sistem/NSD klasifikasi/NSD awal/NSD yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSM adalah/O--,Sistem/NSD klasifikasi/NSD awal/ASP yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VSA  ,Sistem/NSD klasifikasi/NSD awal/NSD yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VBL
Sistem klasifikasi pertama yang dikembangkan oleh ilmuwan adalah,050v003,"0,00",3,Sistem/NSD klasifikasi/NSD pertama/CO- yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSM adalah/O--,Sistem/NSD klasifikasi/NSD pertama/O-- yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VSA  ,Sistem/NSD klasifikasi/NSD pertama/ORD yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VBL
"Sistem pengelompokan dapat disederhanakan dengan mempertimbangkan manfaatnya. Misalnya, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat dikelompokkan bersama",058v001,"0,65",2,"Sistem/NSD pengelompokan/NSD dapat/VSA disederhanakan/VSP dengan/R-- mempertimbangkan/VSA manfaat/NSD nya/PS3 ./Z-- Misalnya/B-- PAD/PAD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/X-- gajah/F-- ,/Z-- dan/H-- aglonema/X-- dapat/VSA dikelompokkan/VSP bersama/VSA","Sistem/NSD pengelompokan/NSD dapat/VSA disederhanakan/VSP dengan/R-- mempertimbangkan/VSA manfaatnya/NSD PAD/PAD ./Z-- Misalnya/Y-- PAD/PAD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CC- aglonema/NSD dapat/VSA dikelompokkan/VSP bersama/B--  ","Sistem/NSD pengelompokan/NSD dapat/VSA disederhanakan/VSP dengan/R-- mempertimbangkan/VBT manfaat/NSD nya/PRF ./Z-- Misal/NSD nya/PRF ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CCA aglonema/NSD dapat/VSA dikelompokkan/VSP bersama/R--"
