soal,versi-soal,prob_benar_menjawab,level,gpt,taksonomi_bloom
"Sistem klasifikasi bisa lebih mudah dengan memperhatikan kegunaannya. Contohnya, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat diatur dalam satu kelompok",058v003,"1,00",1,"Sistem/NSD klasifikasi/NSD bisa/VSA lebih/B-- mudah/ASP dengan/R-- memperhatikan/VSA kegunaannya/NSD PAD/PAD ./Z-- Contohnya/NSD PAD/PAD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CC- aglonema/NSD dapat/VSA diatur/VSP dalam/R-- satu/O-- kelompok/NSD  ",C2-Memahami
"Perhatikan beberapa hewan berikut : 1) Gorilla,  2) Kuda, 3) Kambing, 4) Orang utan, 5) Keledai, 6) Simpanse. Berdasarkan filogenik hubungan kekerabatan yang paling dekat adalah",059v001,"0,85",1,"Perhatikan/VSA beberapa/O-- hewan/NSD berikut/ASP :/Z-- 1)/O-- PAD/PAD Gorilla/NSD ,/Z-- 2)/O-- PAD/PAD Kuda/NSD ,/Z-- 3)/O-- PAD/PAD Kambing/NSD ,/Z-- 4)/O-- PAD/PAD Orang/NSD utan/X-- ,/Z-- 5)/O-- PAD/PAD Keledai/NSD ,/Z-- 6)/O-- PAD/PAD Simpanse/NSD ./Z-- Berdasarkan/R-- filogenik/NSD hubungan/NSD kekerabatan/NSD yang/S-- paling/ASP dekat/ASP adalah/VSP  ",C4-Menganalisis
"Hewan dengan hubungan kekerabatan terdekat adalah 1) Gorilla,  2) Kuda, 3) Kambing, 4) Orang utan, 5) Keledai, 6) Simpanse. ",059v002,"0,90",1,"Hewan/NSD dengan/R-- hubungan/NSD kekerabatan/NSD terdekat/ASP adalah/VSP 1)/O-- PAD/PAD Gorilla/NSD ,/Z-- 2)/O-- PAD/PAD Kuda/NSD ,/Z-- 3)/O-- PAD/PAD Kambing/NSD ,/Z-- 4)/O-- PAD/PAD Orang/NSD utan/X-- ,/Z-- 5)/O-- PAD/PAD Keledai/NSD ,/Z-- 6)/O-- PAD/PAD Simpanse/NSD ./Z--",C4-Menganalisis
"Menurut filogeni, hewan yang paling dekat kekerabatannya adalah: 1) Gorilla,  2) Kuda, 3) Kambing, 4) Orang utan, 5) Keledai, 6) Simpanse. ",059v003,"0,58",2,"Menurut/R-- filogeni/NSD ,/Z-- hewan/NSD yang/S-- paling/ASP dekat/ASP kekerabatannya/NSD PAD/PAD adalah/VSP :/Z-- 1)/O-- PAD/PAD Gorilla/NSD ,/Z-- 2)/O-- PAD/PAD Kuda/NSD ,/Z-- 3)/O-- PAD/PAD Kambing/NSD ,/Z-- 4)/O-- PAD/PAD Orang/NSD utan/X-- ,/Z-- 5)/O-- PAD/PAD Keledai/NSD ,/Z-- 6)/O-- PAD/PAD Simpanse/NSD ./Z--  ",C4-Menganalisis
Generasi sporofit pada tumbuhan lumut menghasilkan,062v001,"0,38",2,Generasi/NSD sporofit/NSD pada/R-- tumbuhan/NSD lumut/NSD menghasilkan/VSA  ,C1-Mengingat
Sporofit pada tumbuhan lumut adalah generasi yang membuat,062v002,"0,50",2,Sporofit/NSD pada/R-- tumbuhan/NSD lumut/NSD adalah/VSP generasi/NSD yang/S-- membuat/VSA  ,C1-Mengingat
"Pada tumbuhan lumut, sporofit adalah generasi yang menghasilkan",062v003,"0,71",1,"Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- sporofit/NSD adalah/VSP generasi/NSD yang/S-- menghasilkan/VSA  ",C1-Mengingat
"Tumbuhan lumut memiliki sistem reproduksi dalam satu pohon, yang berarti",064v001,"0,46",2,"Tumbuhan/NSD lumut/NSD memiliki/VSA sistem/NSD reproduksi/NSD dalam/R-- satu/O-- pohon/NSD ,/Z-- yang/S-- berarti/VSA  ",C2-Memahami
"Tumbuhan lumut ada yang berumah satu, artinya ",064v002,"0,14",3,"Tumbuhan/NSD lumut/NSD ada/VSA yang/S-- berumah/NSD satu/O-- ,/Z-- artinya/VSP PAD/PAD",C2-Memahami
Sistem reproduksi tumbuhan lumut adalah,064v003,"0,25",3,Sistem/NSD reproduksi/NSD tumbuhan/NSD lumut/NSD adalah/VSP  ,C1-Mengingat
"Pada tumbuhan lumut, bagian yang bertanggung jawab untuk menyerap air dan mineral adalah",067v001,"0,35",2,"Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- bagian/NSD yang/S-- bertanggung/ASP jawab/ASP untuk/R-- menyerap/VSA air/NSD dan/CC- mineral/NSD adalah/VSP  ",C1-Mengingat
"Di tumbuhan lumut, yang berperan untuk menyerap air dan mineral adalah",067v002,"0,50",2,"Di/R-- tumbuhan/NSD lumut/NSD ,/Z-- yang/S-- berperan/VSA untuk/R-- menyerap/VSA air/NSD dan/CC- mineral/NSD adalah/VSP  ",C1-Mengingat
"Pada tumbuhan lumut, yang melaksanakan fungsi menyerap air dan mineral adalah",067v003,"0,71",1,"Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- yang/S-- melaksanakan/VSA fungsi/NSD menyerap/VSA air/NSD dan/CC- mineral/NSD adalah/VSP  ",C1-Mengingat
Bagian dari tumbuhan Pteridophyta yang menunjukkan perkembangan lebih maju dibandingkan tumbuhan Bryophyta adalah,070v001,"0,29",3,Bagian/NSD dari/R-- tumbuhan/NSD Pteridophyta/NSD yang/S-- menunjukkan/VSA perkembangan/NSD lebih/B-- maju/ASP dibandingkan/VSP tumbuhan/NSD Bryophyta/NSD adalah/VSB,C2-Memahami
Bagian tumbuhan Pteridophyta yang menunjukkan kemajuan lebih lanjut dibandingkan dengan tumbuhan Bryophyta adalah,070v002,"0,29",3,Bagian/NSD tumbuhan/NSD Pteridophyta/NSD yang/S-- menunjukkan/VSA kemajuan/NSD lebih/B-- lanjut/ASP dibandingkan/VSP dengan/R-- tumbuhan/NSD Bryophyta/NSD adalah/VSB,C2-Memahami
"Di tumbuhan Pteridophyta, bagian yang menunjukkan tingkat perkembangan lebih maju daripada tumbuhan Bryophyta adalah",070v003,"0,25",3,"Di/R-- tumbuhan/NSD Pteridophyta/NSD ,/Z-- bagian/NSD yang/S-- menunjukkan/VSA tingkat/NSD perkembangan/NSD lebih/B-- maju/ASP daripada/R-- tumbuhan/NSD Bryophyta/NSD adalah/VSB",C2-Memahami
"Fase-fase dalam perkembangbiakan tumbuhan paku yang urut adalah : 1) tumbuhan paku dengan sporangium, 2) protalium, 3) spora, 4) zigot, 5) embrio, 6) tumbuhan paku muda",072v001,"0,36",2,"Fase-fase/NSD PAD/PAD PAD/PAD dalam/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD yang/S-- urut/ASP adalah/VSB :/Z-- 1/O-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/O-- )/Z-- protalium/NSD ,/Z-- 3/O-- )/Z-- spora/NSD ,/Z-- 4/O-- )/Z-- zigot/NSD ,/Z-- 5/O-- )/Z-- embrio/NSD ,/Z-- 6/O-- )/Z-- tumbuhan/NSD paku/NSD muda/ASP",C4-Menganalisis
"Ditemukan fase-fase dari perkembangbiakan tumbuhan paku adalah seperti berikut.1) tumbuhan paku dengan sporangium, 2)protalium, 3)spora, 4)zigot, 5)embrio, 6)tumbuhan paku muda. Dari fase-fase perkembangbiakan paku tersebut dapat disusun secara urut adalah",072v002,"0,29",3,"Ditemukan/VSP fase-fase/NSD PAD/PAD PAD/PAD dari/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD adalah/VSB seperti/B-- berikut/ASP ./Z-- 1/O-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/O-- )/Z-- protalium/NSD ,/Z-- 3/O-- )/Z-- spora/NSD ,/Z-- 4/O-- )/Z-- zigot/NSD ,/Z-- 5/O-- )/Z-- embrio/NSD ,/Z-- 6/O-- )/Z-- tumbuhan/NSD paku/NSD muda/ASP ./Z-- Dari/R-- fase-fase/NSD PAD/PAD PAD/PAD perkembangbiakan/NSD paku/NSD tersebut/PRN dapat/VSB disusun/VSP secara/R-- urut/ASP adalah/VSB",C4-Menganalisis
"Berikut adalah fase-fase dalam perkembangbiakan tumbuhan paku, urutkan secara tepat: 1) tumbuhan paku dengan sporangium, 2) protalium, 3) spora, 4) zigot, 5) embrio, 6) tumbuhan paku muda.",072v003,"0,29",3,"Berikut/ASP adalah/VSB fase-fase/NSD PAD/PAD PAD/PAD dalam/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD ,/Z-- urutkan/VSA secara/R-- tepat/ASP :/Z-- 1/O-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/O-- )/Z-- protalium/NSD ,/Z-- 3/O-- )/Z-- spora/NSD ,/Z-- 4/O-- )/Z-- zigot/NSD ,/Z-- 5/O-- )/Z-- embrio/NSD ,/Z-- 6/O-- )/Z-- tumbuhan/NSD paku/NSD muda/ASP ./Z--",C4-Menganalisis
Bagian tumbuhan Pteridophyta yang membentuk gamet adalah,073v001,"0,45",2,Bagian/NSD tumbuhan/NSD Pteridophyta/NSD yang/S-- membentuk/VSA gamet/NSD adalah/VSB,C1-Mengingat
"Pada tumbuhan Pteridophyta, gamet terbentuk di bagian",073v002,"0,00",3,"Pada/R-- tumbuhan/NSD Pteridophyta/NSD ,/Z-- gamet/NSD terbentuk/VSP di/R-- bagian/NSD",C1-Mengingat
Struktur yang menghasilkan gamet pada tumbuhan Pteridophyta ada di bagian,073v003,"0,00",3,Struktur/NSD yang/S-- menghasilkan/VSA gamet/NSD pada/R-- tumbuhan/NSD Pteridophyta/NSD ada/VSB di/R-- bagian/NSD,C1-Mengingat
Protalium adalah bagian dari generasi paku yang menghasilkan,082v001,"0,46",2,Protalium/NSD adalah/VSB bagian/NSD dari/R-- generasi/NSD paku/NSD yang/S-- menghasilkan/VSA,C1-Mengingat
Protalium termasuk generasi pada tumbuhan paku yang menghasilkan,082v002,"0,63",2,Protalium/NSD termasuk/VSB generasi/NSD pada/R-- tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VSA,C1-Mengingat
Generasi tumbuhan paku yang menghasilkan protalium adalah,082v003,"0,33",2,Generasi/NSD tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VSA protalium/NSD adalah/VSB,C1-Mengingat
Tumbuhan manakah yang memiliki kabium,088v001,"0,36",2,Tumbuhan/NSD manakah/PRQ PAD/PAD yang/S-- memiliki/VSA kabium/NSD,C1-Mengingat
Tumbuhan apa yang memiliki kambium,088v002,"0,50",2,Tumbuhan/NSD apa/PRQ yang/S-- memiliki/VSA kambium/NSD,C1-Mengingat
Contoh tumbuhan yang memiliki kabium,088v003,"0,75",1,Contoh/NSD tumbuhan/NSD yang/S-- memiliki/VSA kabium/NSD,C1-Mengingat
Pipa kapiler yang mengangkut air di dalam tubuh tumbuhan adalah,089v001,"0,50",2,Pipa/NSD kapiler/NSD yang/S-- mengangkut/VSA air/NSD di/R-- dalam/R-- tubuh/NSD tumbuhan/NSD adalah/VSB,C1-Mengingat
Pipa kapiler yang berperan dalam pengangkutan air di dalam tubuh tumbuhan adalah,089v002,"0,71",1,Pipa/NSD kapiler/NSD yang/S-- berperan/VSA dalam/R-- pengangkutan/NSD air/NSD di/R-- dalam/R-- tubuh/NSD tumbuhan/NSD adalah/VSB,C1-Mengingat
"Untuk mengangkut air di dalam tubuh tumbuhan, digunakan pipa kapiler yang disebut",089v003,"0,50",2,"Untuk/R-- mengangkut/VSA air/NSD di/R-- dalam/R-- tubuh/NSD tumbuhan/NSD ,/Z-- digunakan/VSP pipa/NSD kapiler/NSD yang/S-- disebut/VSP",C1-Mengingat
Sporangium adalah struktur,092v001,"0,60",2,Sporangium/NSD adalah/VSB struktur/NSD,C1-Mengingat
Pengertin sporangium yaitu,092v002,"0,33",2,Pengertian/NSD sporangium/NSD yaitu/VSB,C1-Mengingat
Sporangium adalah,092v003,"0,20",3,Sporangium/NSD adalah/VSB,C1-Mengingat
"Dalam anatomi biji monokotil, bagian yang menyimpan cadangan makanan adalah",095v001,"0,63",2,"Dalam/R-- anatomi/NSD biji/NSD monokotil/NSD ,/Z-- bagian/NSD yang/S-- menyimpan/VSA cadangan/NSD makanan/NSD adalah/VSB",C1-Mengingat
Bagian biji monokotil yang berfungsi sebagai tempat cadangan makanan adalah,095v002,"0,73",1,Bagian/NSD biji/NSD monokotil/NSD yang/S-- berfungsi/VSA sebagai/R-- tempat/NSD cadangan/NSD makanan/NSD adalah/VSB,C1-Mengingat
"Pada anatomi biji monokotil, bagian biji yang berperan untuk cadangan makanan adalah",095v003,"0,75",1,"Pada/R-- anatomi/NSD biji/NSD monokotil/NSD ,/Z-- bagian/NSD biji/NSD yang/S-- berperan/VSA untuk/R-- cadangan/NSD makanan/NSD adalah/VSB",C1-Mengingat
Pinus adalah bagian dari kelompok Gymnospermae dari divisi,097v001,"0,40",2,Pinus/NSB adalah/VSB bagian/NSD dari/R-- kelompok/NSD Gymnospermae/X-- dari/R-- divisi/NSD,C1-Mengingat
"Dalam divisi, Pinus termasuk ke dalam anggota Gymnospermae",097v002,"0,11",3,"Dalam/R-- divisi/NSD ,/Z-- Pinus/NSB termasuk/VSA ke/R-- dalam/R-- anggota/NSD Gymnospermae/X--",C1-Mengingat
Anggota Gymnospermae dalam divisi termasuk,097v003,"0,43",2,Anggota/NSD Gymnospermae/X-- dalam/R-- divisi/NSD termasuk/VSA,C1-Mengingat
"Berikut ini adalah beberapa spesies dari kingdom Plantae yang sering digunakan sebagai sumber utama karbohidrat, seperti",099v001,"0,56",2,"Berikut/R-- ini/X-- adalah/VSB beberapa/X-- spesies/NSD dari/R-- kingdom/NSD Plantae/X-- yang/S-- sering/B-- digunakan/VSP sebagai/R-- sumber/NSD utama/ASP karbohidrat/NSD ,/Z-- seperti/R--",C1-Mengingat
Contoh-contoh spesies dari kingdom Plantae yang umumnya menjadi sumber utama karbohidrat adalah,099v002,"1,00",1,Contoh-contoh/NSD PAD/PAD PAD/PAD spesies/NSD dari/R-- kingdom/NSD Plantae/X-- yang/S-- umumnya/B-- PAD/PAD menjadi/VSA sumber/NSD utama/ASP karbohidrat/NSD adalah/VSB,C1-Mengingat
Spesies dari kingdom Plantae yang biasanya digunakan sebagai sumber utama karbohidrat meliputi,099v003,"0,57",2,Spesies/NSD dari/R-- kingdom/NSD Plantae/X-- yang/S-- biasanya/B-- PAD/PAD digunakan/VSP sebagai/R-- sumber/NSD utama/ASP karbohidrat/NSD meliputi/VSA,C1-Mengingat
CO2 bisa mengakibatkan,102v001,"0,44",2,CO2/NSB bisa/VSA mengakibatkan/VSA,C1-Mengingat
CO2 adalah polutan udara yang dapat menyebabkan,102v002,"0,67",2,CO2/NSB adalah/VSB polutan/NSD udara/NSD yang/S-- dapat/VSA menyebabkan/VSA,C1-Mengingat
Dampak polutan udara adalah,102v003,"0,46",2,Dampak/NSD polutan/NSD udara/NSD adalah/VSB,C1-Mengingat
Pernyataan yang salah adalah,105v001,"0,52",2,Pernyataan/NSD yang/S-- salah/ASP adalah/VSB,C1-Mengingat
Pernyataan yang tidak tepat tentang perlindungan lingkungan adalah,105v002,"0,80",1,Pernyataan/NSD yang/S-- tidak/B-- tepat/ASP tentang/R-- perlindungan/NSD lingkungan/NSD adalah/VSB,C1-Mengingat
Pernyataan yang tidak benar adalah,105v003,"0,50",2,Pernyataan/NSD yang/S-- tidak/B-- benar/ASP adalah/VSB,C1-Mengingat
"Bencana banjir yang melanda beberapa kota tidak hanya disebabkan oleh tingginya curah hujan. Faktor kerusakan hutan di kawasan tangkapan air wilayah hulu sungai diidentifikasi sebagai penyebab utama sering terjadinya banjir. Dampaknya juga berupa pendangkalan sungai. Kerusakan hutan disebabkan oleh beberapa kegiatan manusia, antara lain pembelakan liar dan penambangan liar. Kerusakan hutan juga banyak terjadi akibat kebakaran hutan, alih fungsi hutan menjadi kebun kelapa sawit, pertambangan batu baru, dan penambangan emas liar. Cara mengatasi permasalahan tersebut adalah",106v001,"0,50",2,"Bencana/NSD banjir/NSD yang/S-- melanda/VSA beberapa/D-- kota/NSD tidak/B-- hanya/R-- disebabkan/VSP oleh/R-- tingginya/NSD PAD/PAD curah/NSD hujan/NSD ./Z-- Faktor/NSD kerusakan/NSD hutan/NSD di/R-- kawasan/NSD tangkapan/NSD air/NSD wilayah/NSD hulu/NSD sungai/NSD diidentifikasi/VSP sebagai/R-- penyebab/NSD utama/ASP sering/R-- terjadinya/VSP PAD/PAD banjir/NSD ./Z-- Dampaknya/NSD PAD/PAD juga/R-- berupa/VSA pendangkalan/NSD sungai/NSD ./Z-- Kerusakan/NSD hutan/NSD disebabkan/VSP oleh/R-- beberapa/D-- kegiatan/NSD manusia/NSD ,/Z-- antara/R-- lain/R-- pembalakan/NSD liar/ASP dan/CC- penambangan/NSD liar/ASP ./Z-- Kerusakan/NSD hutan/NSD juga/R-- banyak/R-- terjadi/VSA akibat/R-- kebakaran/NSD hutan/NSD ,/Z-- alih/NSD fungsi/NSD hutan/NSD menjadi/VSA kebun/NSD kelapa/NSD sawit/NSD ,/Z-- pertambangan/NSD batu/NSD bara/NSD ,/Z-- dan/CC- penambangan/NSD emas/NSD liar/ASP ./Z-- Cara/NSD mengatasi/VSA permasalahan/NSD tersebut/D-- adalah/VSA",C5-Mengevaluasi
"Bencana banjir yang menghantam beberapa kota tidak hanya disebabkan oleh tingginya curah hujan. Kerusakan hutan di daerah tangkapan air di hulu sungai diidentifikasi sebagai penyebab utama seringnya terjadinya banjir, yang juga menyebabkan pendangkalan sungai. Kerusakan hutan ini disebabkan oleh berbagai kegiatan manusia seperti pembalakan liar dan penambangan ilegal. Selain itu, kebakaran hutan, konversi hutan menjadi kebun kelapa sawit, pertambangan batu bara, dan penambangan emas liar juga berkontribusi terhadap kerusakan hutan. Upaya untuk mengatasi permasalahan ini adalah",106v002,"0,29",3,"Bencana/NSD banjir/NSD yang/S-- menghantam/VSA beberapa/O-- kota/NSD tidak/B-- hanya/B-- disebabkan/VSP oleh/R-- tingginya/NSD PAD/PAD curah/NSD hujan/NSD ./Z-- Kerusakan/NSD hutan/NSD di/R-- daerah/NSD tangkapan/NSD air/NSD di/R-- hulu/NSD sungai/NSD diidentifikasi/VSP sebagai/R-- penyebab/NSD utama/ASP seringnya/B-- PAD/PAD terjadinya/NSD PAD/PAD banjir/NSD ,/Z-- yang/S-- juga/B-- menyebabkan/VSA pendangkalan/NSD sungai/NSD ./Z-- Kerusakan/NSD hutan/NSD ini/PR- disebabkan/VSP oleh/R-- berbagai/O-- kegiatan/NSD manusia/NSD seperti/R-- pembalakan/NSD liar/ASP dan/CC- penambangan/NSD ilegal/ASP ./Z-- Selain/R-- itu/B-- ,/Z-- kebakaran/NSD hutan/NSD ,/Z-- konversi/NSD hutan/NSD menjadi/VSA kebun/NSD kelapa/NSD sawit/NSD ,/Z-- pertambangan/NSD batu/NSD bara/NSD ,/Z-- dan/CC- penambangan/NSD emas/NSD liar/ASP juga/B-- berkontribusi/VSA terhadap/R-- kerusakan/NSD hutan/NSD ./Z-- Upaya/NSD untuk/R-- mengatasi/VSA permasalahan/NSD ini/PR- adalah/VSB",C5-Mengevaluasi
"Langkah-langkah untuk mengatasi bencana seperti banjir, tanah longsor adalah",106v003,"0,20",3,"Langkah-langkah/NSD PAD/PAD PAD/PAD untuk/R-- mengatasi/VSA bencana/NSD seperti/R-- banjir/NSD ,/Z-- tanah/NSD longsor/NSD adalah/VSB",C5-Mengevaluasi
Pengelolaan biologis dianggap paling efektif dalam penanganan limbah dari bahan berbahaya dan beracun (limbah B3) karena,108v001,"0,43",2,Pengelolaan/NSD biologis/ASP dianggap/VSP paling/B-- efektif/ASP dalam/R-- penanganan/NSD limbah/NSD dari/R-- bahan/NSD berbahaya/ASP dan/CC- beracun/ASP (/Z-- limbah/NSD B3/X-- )/Z-- karena/R--,C2-Memahami
Cara terbaik untuk mengatasi limbah dari bahan berbahaya dan beracun (limbah B3) adalah dengan pengelolaan secara biologis karena,108v002,"0,25",3,Cara/NSD terbaik/ASP untuk/R-- mengatasi/VSA limbah/NSD dari/R-- bahan/NSD berbahaya/ASP dan/CC- beracun/ASP (/Z-- limbah/NSD B3/X-- )/Z-- adalah/VSB dengan/R-- pengelolaan/NSD secara/R-- biologis/ASP karena/R--,C2-Memahami
Pengelolaan biologis dianggap sebagai solusi terbaik dalam menanggulangi limbah dari bahan berbahaya dan beracun (limbah B3) karena,108v003,"0,00",3,Pengelolaan/NSD biologis/ASP dianggap/VSP sebagai/R-- solusi/NSD terbaik/ASP dalam/R-- menanggulangi/VSA limbah/NSD dari/R-- bahan/NSD berbahaya/ASP dan/CC- beracun/ASP (/Z-- limbah/NSD B3/X-- )/Z-- karena/R--,C2-Memahami
"Untuk mengendalikan populasi serangga yang merusak tanaman pertanian secara serius tanpa dampak negatif bagi lingkungan, metode yang digunakan adalah",112v001,"0,50",2,"Untuk/R-- mengendalikan/VSA populasi/NSD serangga/NSD yang/S-- merusak/VSA tanaman/NSD pertanian/NSD secara/R-- serius/ASP tanpa/R-- dampak/NSD negatif/ASP bagi/R-- lingkungan/NSD ,/Z-- metode/NSD yang/S-- digunakan/VSP adalah/VSB",C1-Mengingat
Meningkatmya populasi sejenis Insecta yang merusak tanaman pertanian perlu dikendalikan secara serius. Cara pengendalian yang tidak menimbulkan dampak negtif bagi lingkungan adalah,112v002,"0,00",3,Meningkatnya/NSD PAD/PAD populasi/NSD sejenis/ASP Insecta/NSD yang/S-- merusak/VSA tanaman/NSD pertanian/NSD perlu/VSA dikendalikan/VSP secara/R-- serius/ASP ./Z-- Cara/NSD pengendalian/NSD yang/S-- tidak/B-- menimbulkan/VSA dampak/NSD negatif/ASP bagi/R-- lingkungan/NSD adalah/VSB,C1-Mengingat
Populasi serangga perusak tanaman pertanian yang meningkat perlu dikendalikan dengan serius. Cara pengendalian yang ramah lingkungan adalah,112v003,"0,00",3,Populasi/NSD serangga/NSD perusak/NSD tanaman/NSD pertanian/NSD yang/S-- meningkat/VSA perlu/VSA dikendalikan/VSP dengan/R-- serius/ASP ./Z-- Cara/NSD pengendalian/NSD yang/S-- ramah/ASP lingkungan/NSD adalah/VSB,C1-Mengingat
Pencemaran sampah plastik dalam tanah selain mengurangi kemampuan daya dukung tanah juga merupakan polutan yang tidak dapat diuraikan. Untuk menanggulanginya dilakukan,113v001,"0,53",2,Pencemaran/NSD sampah/NSD plastik/NSD dalam/R-- tanah/NSD selain/R-- mengurangi/VSA kemampuan/NSD daya/NSD dukung/NSD tanah/NSD juga/B-- merupakan/VSB polutan/NSD yang/S-- tidak/B-- dapat/VSA diuraikan/VSP ./Z-- Untuk/R-- menanggulanginya/VSA PAD/PAD dilakukan/VSP,C1-Mengingat
"Selain mengurangi kemampuan daya dukung tanah, pencemaran sampah plastik juga tidak dapat diuraikan. Upaya untuk menanggulangi hal ini adalah",113v002,"0,70",2,"Selain/R-- mengurangi/VSA kemampuan/NSD daya/NSD dukung/NSD tanah/NSD ,/Z-- pencemaran/NSD sampah/NSD plastik/NSD juga/B-- tidak/B-- dapat/VSA diuraikan/VSP ./Z-- Upaya/NSD untuk/R-- menanggulangi/VSA hal/NSD ini/PR- adalah/VSB",C1-Mengingat
Pencemaran plastik dalam tanah mengurangi daya dukung tanah dan tidak bisa diuraikan. Upaya penanggulangannya adalah,113v003,"0,00",3,Pencemaran/NSD plastik/NSD dalam/R-- tanah/NSD mengurangi/VSA daya/NSD dukung/NSD tanah/NSD dan/CC- tidak/B-- bisa/VSA diuraikan/VSP ./Z-- Upaya/NSD penanggulangannya/NSD PAD/PAD adalah/VSB,C1-Mengingat
Penggunaan kendaraan bermotor dan alat-alat yang mengandung CFC bisa menyebabkan,114v001,"0,41",2,Penggunaan/NSD kendaraan/NSD bermotor/ASP dan/CC- alat-alat/NSD PAD/PAD PAD/PAD yang/S-- mengandung/VSA CFC/NSD bisa/VSA menyebabkan/VSA,C1-Mengingat
Kendaraan bermotor dan alat-alat dengan CFC dapat mengakibatkan,114v002,"0,75",1,Kendaraan/NSD bermotor/ASP dan/CC- alat-alat/NSD PAD/PAD PAD/PAD dengan/R-- CFC/NSD dapat/VSA mengakibatkan/VSA,C1-Mengingat
Akibat dari penggunaan kendaraan bermotor dan alat-alat yang mengandung CFC adalah,114v003,"0,00",3,Akibat/NSD dari/R-- penggunaan/NSD kendaraan/NSD bermotor/ASP dan/CC- alat-alat/NSD PAD/PAD PAD/PAD yang/S-- mengandung/VSA CFC/NSD adalah/VSB,C1-Mengingat
Tindakan yang kita lakukan untuk menerapkan prinsip etika lingkungan tersebut adalah,115v001,"0,23",3,Tindakan/NSD yang/S-- kita/PR- lakukan/VSA untuk/R-- menerapkan/VSA prinsip/NSD etika/NSD lingkungan/NSD tersebut/PR- adalah/VSB,C1-Mengingat
"Dalam rangka menerapkan prinsip etika lingkungan tersebut, tindakan yang kita ambil adalah",115v002,"0,00",3,"Dalam/R-- rangka/NSD menerapkan/VSA prinsip/NSD etika/NSD lingkungan/NSD tersebut/T-- ,/Z-- tindakan/NSD yang/S-- kita/G-- ambil/VSA adalah/VSP",C1-Mengingat
"Untuk menjalankan prinsip etika lingkungan itu, kita perlu melakukan tindakan",115v003,"0,09",3,"Untuk/R-- menjalankan/VSA prinsip/NSD etika/NSD lingkungan/NSD itu/T-- ,/Z-- kita/G-- perlu/VSA melakukan/VSA tindakan/NSD",C1-Mengingat
Salah satu pengaruh hutan terhadap lingkungan adalah hubungannya dengan iklim. Ini terjadi karena hutan,116v001,"0,38",2,Salah/ASP satu/O-- pengaruh/NSD hutan/NSD terhadap/R-- lingkungan/NSD adalah/VSP hubungannya/NSD PAD/PAD dengan/R-- iklim/NSD ./Z-- Ini/G-- terjadi/VSA karena/S-- hutan/NSD,C2-Memahami
"Hutan mempengaruhi lingkungan, terutama dalam hal iklim. Ini karena hutan",116v002,"0,00",3,"Hutan/NSD mempengaruhi/VSA lingkungan/NSD ,/Z-- terutama/B-- dalam/R-- hal/NSD iklim/NSD ./Z-- Ini/G-- karena/S-- hutan/NSD",C2-Memahami
Pengaruh hutan terhadap lingkungan mencakup iklim. Hal ini disebabkan oleh hutan yang,116v003,"0,33",2,"Pengaruh/NSD hutan/NSD terhadap/R-- lingkungan/NSD mencakup/VSA iklim/NSD ./Z-- 
Hal/NSD ini/T-- disebabkan/VSP oleh/R-- hutan/NSD yang/S--",C2-Memahami
Yang bukan merupakan ciri umum tumbuhan dikotil adalah,003v001,"0,2",3,Yang/Y-- bukan/B-- merupakan/VSA ciri/NSD umum/ASP tumbuhan/NSD dikotil/NSD adalah/VSA,C2-Memahami
Cara yang benar dan aman saat berada di laboratorium adalah,007v001,"0,20",3,Cara/NSD yang/S-- benar/ASP dan/CC- aman/ASP saat/R-- berada/VSA di/R-- laboratorium/NSD adalah/VSA,C1-Mengingat
Urutan taksonomi tumbuhan mulai dari kelompok terbesar ke terkecil adalah,013v001,"0,75",1,Urutan/NSD taksonomi/NSD tumbuhan/NSD mulai/R-- dari/R-- kelompok/NSD terbesar/ASP ke/R-- terkecil/ASP adalah/VSA,C1-Mengingat
Kelompok bakteri yang tidak bisa membuat makanan sendiri tetapi memanfaatkan organisme lain disebut,016v001,"0,20",3,Kelompok/NSD bakteri/NSD yang/S-- tidak/B-- bisa/VSA membuat/VSA makanan/NSD sendiri/PRN tetapi/CC- memanfaatkan/VSA organisme/NSD lain/PRN disebut/VSP,C1-Mengingat
